PS.1,PS.2,PS.3,class,type,xcoor,ycoor
216.00000,225.00000,234.00000,1,grass,677880,9120625
255.00000,255.00000,255.00000,1,grass,677895,9120609
250.00000,254.00000,255.00000,1,grass,677903,9120596
168.00000,165.00000,156.00000,2,tree,677869,9121131
168.00000,166.00000,150.00000,2,tree,677637,9120667
164.00000,166.00000,152.00000,2,tree,677737,9120229
186.00000,183.00000,188.00000,3,building,677948,9120950
255.00000,255.00000,255.00000,3,building,678179,9120493
191.00000,189.00000,190.00000,3,buiding,678015,9120541
183.00000,178.00000,171.00000,4,road,678060,9120890
183.00000,180.00000,176.00000,4,road,677949,9120620
178.00000,175.00000,172.00000,4,road,677829,9120200
180.00000,178.00000,181.00000,5,residential,678017,9121009
179.00000,175.00000,179.00000,5,residential,677594,9120937
190.00000,191.00000,203.00000,5,residential,677617,9120273
251.00000,255.00000,255.00000,1,grass,677911,9120621
245.00000,240.00000,245.00000,1,grass,677923,9120612
253.00000,255.00000,255.00000,1,grass,677916,9120606
234.00000,236.00000,238.00000,1,grass,677916,9120588
201.00000,207.00000,217.00000,1,grass,677878,9120595
255.00000,255.00000,255.00000,1,grass,677880,9120608
201.00000,200.00000,199.00000,1,grass,677924,9120589
164.00000,164.00000,150.00000,2,tree,677857,9120628
170.00000,166.00000,156.00000,2,tree,677844,9120578
169.00000,165.00000,152.00000,2,tree,677806,9120258
165.00000,164.00000,150.00000,2,tree,677697,9120284
166.00000,163.00000,152.00000,2,tree,677675,9120722
169.00000,178.00000,179.00000,2,tree,677700,9121007
170.00000,167.00000,156.00000,2,tree,678215,9120789
237.00000,235.00000,244.00000,3,building,678054,9121111
225.00000,231.00000,255.00000,3,building,677894,9121009
255.00000,255.00000,255.00000,3,building,677697,9120923
191.00000,191.00000,204.00000,3,building,678032,9120800
255.00000,255.00000,255.00000,3,building,678228,9120927
255.00000,255.00000,255.00000,3,building,677968,9120316
231.00000,240.00000,255.00000,3,building,677686,9120376
188.00000,185.00000,179.00000,4,road,678087,9120941
188.00000,184.00000,185.00000,4,road,678122,9120988
191.00000,186.00000,181.00000,4,road,677976,9120596
182.00000,178.00000,171.00000,4,road,677959,9120564
182.00000,179.00000,175.00000,4,road,677832,9120250
184.00000,183.00000,180.00000,4,road,677816,9120198
206.00000,203.00000,209.00000,4,road,677806,9120185
183.00000,181.00000,177.00000,4,road,677869,9120369
192.00000,184.00000,179.00000,4,road,678100,9120935
191.00000,188.00000,182.00000,4,road,678127,9120971
192.00000,193.00000,201.00000,5,residential,677646,9121110
195.00000,192.00000,195.00000,5,residential,677599,9120798
188.00000,189.00000,188.00000,5,residential,678213,9120219
201.00000,201.00000,204.00000,5,residential,678214,9120361
244.00000,242.00000,255.00000,5,residential,678260,9120564
215.00000,216.00000,227.00000,5,residential,678255,9120603
219.00000,223.00000,231.00000,5,residential,677571,9121123
